                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.0333,                0.52627,                 1.0556,                0.88277,                0.83671,                0.89163,                0.62298,                 1.2694,                0.70862,                 1.2311,             0.00041275,             0.00041275,             0.00041275
                     78,                0.99559,                0.51197,                 1.0208,                 0.9096,                0.86357,                0.92132,                0.65031,                 1.2393,                0.61379,                 1.2127,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0224,                0.51121,                 1.0286,                0.76345,                 0.8705,                0.85996,                0.58807,                 1.2601,                0.67244,                 1.2251,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.0231,                0.51024,                 1.0286,                0.77105,                0.77003,                0.78195,                0.55165,                 1.2016,                0.72488,                 1.1875,             0.00036324,             0.00036324,             0.00036324
                     81,                0.99802,                0.51385,                 1.0357,                0.74783,                0.80856,                0.82885,                0.58232,                 1.2281,                0.77209,                 1.2017,             0.00034674,             0.00034674,             0.00034674
                     82,                0.99063,                 0.4876,                 1.0326,                0.69601,                0.84364,                0.79568,                0.56437,                 1.2397,                0.75639,                 1.2176,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.0046,                0.50832,                 1.0666,                 0.5914,                0.75901,                0.69487,                0.48536,                 1.2597,                0.80754,                 1.2294,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.0088,                0.50987,                   1.02,                0.59805,                0.67579,                0.68846,                 0.4779,                 1.2724,                0.86463,                  1.232,             0.00029723,             0.00029723,             0.00029723
                     85,                0.98605,                0.49438,                 1.0161,                0.59294,                 0.7241,                0.74221,                0.51467,                  1.273,                0.77141,                 1.2358,             0.00028072,             0.00028072,             0.00028072
                     86,                  0.973,                0.47643,                 1.0177,                0.58381,                0.81419,                0.74837,                0.50772,                 1.3012,                0.76096,                 1.2602,             0.00026422,             0.00026422,             0.00026422
                     87,                0.97954,                 0.4828,                 1.0468,                0.55947,                0.73817,                0.67938,                 0.4562,                 1.2885,                0.86399,                 1.2513,             0.00024772,             0.00024772,             0.00024772
                     88,                0.96229,                0.48007,                 1.0283,                0.53083,                0.64752,                0.58364,                 0.3874,                 1.3113,                 1.0108,                 1.2737,             0.00023121,             0.00023121,             0.00023121
                     89,                0.95273,                0.46077,                0.99732,                0.52321,                 0.5991,                0.56953,                  0.384,                 1.2702,                 1.0178,                 1.2444,             0.00021471,             0.00021471,             0.00021471
                     90,                0.97794,                0.48047,                 1.0433,                0.71632,                0.59234,                0.66741,                0.45694,                 1.2366,                0.89392,                 1.2216,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.9689,                0.45275,                 1.0238,                0.89236,                0.64077,                0.74868,                0.49968,                 1.2865,                0.82588,                 1.2531,              0.0001817,              0.0001817,              0.0001817
                     92,                0.97546,                0.45589,                   1.05,                0.86978,                0.80743,                 0.8517,                0.59497,                 1.2389,                0.69517,                 1.2225,              0.0001652,              0.0001652,              0.0001652
                     93,                0.92353,                0.43356,                 1.0247,                0.92529,                0.78955,                0.86212,                0.61036,                 1.2423,                0.70799,                  1.218,              0.0001487,              0.0001487,              0.0001487
                     94,                0.96113,                 0.4428,                 1.0563,                0.87349,                0.80068,                0.87023,                0.59846,                 1.2553,                0.69449,                 1.2271,             0.00013219,             0.00013219,             0.00013219
                     95,                0.93172,                  0.433,                 1.0214,                0.85237,                0.77536,                0.85531,                0.59568,                 1.2619,                0.73667,                 1.2295,             0.00011569,             0.00011569,             0.00011569
                     96,                0.91529,                0.42306,                 1.0204,                0.76104,                 0.7241,                0.80594,                0.56437,                  1.265,                0.80591,                 1.2274,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.94823,                0.43643,                 1.0272,                0.80831,                0.68243,                0.77094,                0.53813,                 1.2628,                0.84719,                  1.229,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.89568,                0.41481,                0.99737,                0.79216,                0.67062,                0.73408,                0.51453,                 1.2589,                0.91049,                 1.2308,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.90384,                0.41701,                0.99277,                 0.7726,                0.64077,                0.71024,                0.50123,                   1.26,                0.93945,                 1.2327,             4.9677e-05,             4.9677e-05,             4.9677e-05
